eventDate,year,stateProvince,locality,longitude,latitude,id
1900-01-01T00:00:00Z,1900,Queensland,Lake Clarendon,152.344091,-27.508681,1
1900-01-01T00:00:00Z,1900,Queensland,Green Swamp East Water Reserve,152.370235,-27.469081,2
1900-01-01T00:00:00Z,1900,Queensland,Lake Apex,152.269799,-27.572632,3
1935-01-01T00:00:00Z,1935,Queensland,Gordonvale,145.784444,-17.098333,4
1935-06-22T00:00:00Z,1935,Queensland,Gordonvale District,145.784436,-17.098465,5
1936-01-01T00:00:00Z,1936,Queensland,"Macknade, 9ml N Ingham",146.251111,-18.581667,6
1936-01-01T00:00:00Z,1936,Queensland,Cairns District,145.66777,-16.898466,7
1936-01-01T00:00:00Z,1936,Queensland,Tully District,145.93444,-17.931795,8
1936-01-01T00:00:00Z,1936,Queensland,"Hawkins Ck, N Ingham",146.084444,-18.615,9
1936-01-01T00:00:00Z,1936,Queensland,Cairns District,145.751111,-16.915,10
1936-01-01T00:00:00Z,1936,Queensland,"Fishery Falls, 24ml S Cairns",145.884444,-17.181667,11
1936-01-01T00:00:00Z,1936,Queensland,Innisfail District,146.034436,-17.531796,12
1936-01-01T00:00:00Z,1936,Queensland,5km S Innisfail,146.017778,-17.565,13
1936-01-01T00:00:00Z,1936,Queensland,N of Cardwell,145.967778,-18.215,14
1936-01-01T00:00:00Z,1936,Queensland,Tully,145.934444,-17.931667,15
1936-01-01T00:00:00Z,1936,Queensland,Gordonvale District,145.784444,-17.098333,16
1937-01-01T00:00:00Z,1937,Queensland,Babinda District,145.934444,-17.298333,17
1937-01-01T00:00:00Z,1937,Queensland,Isis District,152.451055,-25.181746,18
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg,152.351111,-24.865,19
1937-01-01T00:00:00Z,1937,Queensland,Hambledon area,145.717778,-17.015,20
1937-01-01T00:00:00Z,1937,Queensland,Mackay District,149.184417,-21.148433,21
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg District,152.334388,-24.931748,22
1937-01-01T00:00:00Z,1937,Queensland,South Johnstone,146.001111,-17.598333,23
1937-01-01T00:00:00Z,1937,Queensland,Isis,152.251111,-25.215,24
1937-01-01T00:00:00Z,1937,Queensland,Mossman District,145.384444,-16.465,25
1937-01-01T00:00:00Z,1937,Queensland,Babinda District,145.917769,-17.348463,26
1937-01-01T00:00:00Z,1937,Queensland,Ayr District,147.401111,-19.565,27
1937-01-01T00:00:00Z,1937,Queensland,Ayr,147.409444,-19.573333,28
1937-01-01T00:00:00Z,1937,Queensland,Babinda,145.921944,-17.34,29
1937-01-01T00:00:00Z,1937,Queensland,"Flying Fish Pt, 4ml E Innisfail",146.074722,-17.498333,30
1937-01-01T00:00:00Z,1937,Queensland,Ingham District,146.15111,-18.648457,31
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg,152.351111,-24.865,32
1937-01-01T00:00:00Z,1937,Queensland,Bambaroo District,146.20111,-18.865122,33
1937-01-01T00:00:00Z,1937,Queensland,Bundaberg District,152.351111,-24.865,34
1937-01-01T00:00:00Z,1937,Queensland,Mackay District,149.184444,-21.148333,35
1937-01-01T00:00:00Z,1937,Queensland,Giru District,147.1011,-19.515116,36
1937-01-01T00:00:00Z,1937,Queensland,Bambaroo District,146.201111,-18.865,37
1937-01-01T00:00:00Z,1937,Queensland,Gordonvale,145.784444,-17.094167,38
1937-01-01T00:00:00Z,1937,Queensland,10ml S Gordonvale,145.884444,-17.181667,39
1937-01-01T00:00:00Z,1937,Queensland,Mackay,149.167778,-21.148333,40
1937-01-01T00:00:00Z,1937,Queensland,Ayr District,147.401097,-19.581782,41
1937-01-01T00:00:00Z,1937,Queensland,Mossman,145.376111,-16.460833,42
1937-01-01T00:00:00Z,1937,Queensland,Mackay,149.184444,-21.148333,43
1937-01-01T00:00:00Z,1937,Queensland,30ml S Ingham,146.317778,-18.981667,44
1937-01-01T00:00:00Z,1937,Queensland,Little Mulgrave area,145.717778,-17.14,45
1937-01-01T00:00:00Z,1937,Queensland,Mossman District,145.367771,-16.465137,46
1937-01-01T00:00:00Z,1937,Queensland,9ml NE Ingham,146.259444,-18.598333,47
1937-01-01T00:00:00Z,1937,Queensland,"Biboohra, 8km NW Mareeba",145.417778,-16.915,48
1937-01-01T00:00:00Z,1937,Queensland,Giru,147.105278,-19.515,49
1937-01-01T00:00:00Z,1937,Queensland,Barmbaroo,146.192778,-18.856667,50
1937-01-01T00:00:00Z,1937,Queensland,Ingham District,146.167778,-18.648333,51
1937-01-01T00:00:00Z,1937,Queensland,Giru District,147.101111,-19.515,52
1937-01-01T00:00:00Z,1937,Queensland,"Horse Shoe Bend (Swamp), Ingham",146.051111,-18.631667,53
